Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,Popularity,MSRP,Vehicle Age,average_mpg
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,27570,9,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,25690,9,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,24490,9,29.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,29905,8,23.0
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,31785,8,23.0
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,26685,8,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,22490,8,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,25690,8,29.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,30900,8,23.0
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,27795,8,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,21995,8,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,24490,8,29.5
Nissan,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2000,29,31.0
Nissan,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2000,29,25.0
Nissan,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2000,28,25.0
Nissan,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2000,28,30.0
Nissan,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2000,27,30.0
Nissan,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2009,2073,27,24.0
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3713,29,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3520,29,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3910,28,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,4182,28,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,4107,28,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,4299,27,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,4693,27,22.5
Nissan,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,4107,27,22.5
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,16020,13,32.0
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,14530,13,32.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,16860,13,31.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,15370,13,31.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,17050,12,31.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,15560,12,31.0
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,16210,12,32.0
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,14720,12,32.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,17050,11,31.0
Mazda,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,586,15560,11,31.0
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,16210,11,32.0
Mazda,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,586,14720,11,32.0
BMW,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,47250,10,25.0
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,41850,10,27.5
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,43000,9,28.0
BMW,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,49200,9,25.0
BMW,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,49650,8,25.0
BMW,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,3916,43950,8,28.0
BMW,premium,241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,41950,10,27.5
BMW,premium,335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,50150,10,29.0
BMW,premium,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,37500,10,29.0
BMW,premium,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,43750,10,26.5
BMW,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,39000,10,38.5
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,39500,10,27.5
BMW,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,34950,10,29.0
BMW,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,45750,10,25.0
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,43450,10,37.0
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,41000,10,37.0
BMW,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,32950,10,30.0
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,41850,9,35.0
BMW,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,47800,9,27.5
BMW,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,39850,9,37.0
BMW,premium,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,38350,9,28.0
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,40350,9,28.0
BMW,premium,240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,3916,38350,9,28.0
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,42650,9,28.0
BMW,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,33150,9,30.0
BMW,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,35150,9,29.0
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,44150,9,35.0
BMW,premium,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,45800,9,27.5
BMW,premium,248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,38750,8,28.5
BMW,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,35450,8,28.5
BMW,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,33450,8,29.0
BMW,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,40750,8,28.0
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,42250,8,35.0
BMW,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,42950,8,28.0
BMW,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,40250,8,37.0
BMW,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,3916,49900,8,26.0
BMW,premium,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,3916,47900,8,26.5
BMW,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3916,44450,8,35.0
Mitsubishi,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,3941,28,20.0
Mitsubishi,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,3295,28,19.5
Mitsubishi,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,436,6008,28,19.0
Mitsubishi,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,436,6710,27,19.0
Mitsubishi,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,3701,27,19.5
Mitsubishi,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,4671,27,20.0
Mitsubishi,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,5306,26,20.0
Mitsubishi,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,436,7600,26,19.0
Mitsubishi,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,436,4090,26,19.5
Chrysler,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,37570,10,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,31695,10,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,38070,10,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,44895,10,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,35070,10,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,42395,10,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,34195,10,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,40570,10,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,38095,9,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,35595,9,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,45190,9,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,32260,9,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,37755,9,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,41055,9,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,36090,9,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,42690,9,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,38555,9,25.0
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,35255,9,25.0
Chrysler,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,38590,9,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,34760,9,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,41135,8,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,45270,8,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,38670,8,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,38635,8,24.5
Chrysler,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,36170,8,24.5
Chrysler,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,38175,8,22.5
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,32340,8,24.5
Chrysler,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,42770,8,24.5
Chrysler,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,1013,34840,8,22.5
Chrysler,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,1013,35675,8,24.5
Chrysler,premium,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,32065,23,20.0
Chrysler,premium,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,28540,23,20.0
Chrysler,premium,255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,32315,22,20.5
Chrysler,regular,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,28885,22,20.5
Chrysler,regular,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,29185,21,20.5
Chrysler,premium,255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,1013,32615,21,20.5
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,2847,31,19.0
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,2488,31,19.0
Nissan,regular,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr Hatchback,2009,2683,31,19.0
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,2553,31,19.0
Nissan,regular,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3049,30,19.0
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,2774,30,19.5
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,2702,30,19.5
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,3101,30,19.5
Nissan,regular,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3510,29,19.0
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3107,29,19.5
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,3624,29,19.5
Nissan,regular,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,3185,29,19.5
Mazda,regular,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,586,2000,31,29.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,36550,18,20.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,41250,18,20.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,30600,18,20.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,37100,18,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,27900,18,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,32700,18,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,40250,18,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,35550,18,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,36100,18,21.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,33200,18,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,37900,18,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,29600,18,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,38070,18,21.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,38900,18,20.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,33840,17,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,38630,17,20.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,39630,17,20.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,37740,17,20.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,41980,17,20.0
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,36280,17,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,36740,17,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,40980,17,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,38680,17,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,28510,17,21.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,30210,17,21.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,31210,17,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,33340,17,21.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,37280,17,20.0
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,41570,16,20.5
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,36870,16,20.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,42570,16,20.0
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,37870,16,20.0
Nissan,regular,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,39220,16,20.5
Nissan,regular,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,40220,16,20.0
Nissan,premium,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,46790,10,22.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,48100,10,20.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,29990,10,22.0
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,41820,10,21.5
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,31290,10,22.5
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,34870,10,22.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,33570,10,22.0
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,46570,10,21.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,37970,10,22.0
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,37070,10,22.0
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,49400,10,21.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,45270,10,20.5
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,39270,10,22.5
Nissan,premium,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,45490,10,22.0
Nissan,premium,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2009,41990,10,22.0
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,38370,10,22.5
Nissan,premium,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,43290,10,22.5
Nissan,premium,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,2009,41820,9,21.5
Nissan,premium,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2009,48100,9,20.5
Nissan,premium,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,2009,43290,9,22.5
